09-24 02:45:10 pair run: kiota-java-1.10.0, 14 MCIs, 13 to do, model gpt-5.6-luna
09-24 03:05:14   V1 var::3: SUCCESS  model 16.73s (4 calls), audit 2.65s, total 27s, baseline reused
09-24 03:05:43   V1 var::4: SUCCESS  model 16.38s (4 calls), audit 4.51s, total 29s, baseline reused
09-24 03:06:02   V2 com.microsoft.kiota.RequestAdapter::1: SUCCESS  model 7.68s (2 calls), audit 3.11s, total 19s, baseline reused
09-24 03:06:21   V1 com.microsoft.kiota.RequestAdapter::1: FAILED_SYNTACTIC_VALIDITY  model 16.63s (4 calls), audit 0s, total 19s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 03:07:03   V2 com.microsoft.kiota.http.middleware.options.RetryHandlerOption::1: SUCCESS  model 31.21s (4 calls), audit 3.15s, total 42s, baseline reused
09-24 03:07:22   V1 com.microsoft.kiota.http.middleware.options.RetryHandlerOption::1: FAILED_SYNTACTIC_VALIDITY  model 19.28s (3 calls), audit 0s, total 19s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: components\http\okHttp\src\test\java\com\microsoft\kiota\http\middleware\
09-24 03:07:38   V2 Span::1: SUCCESS  model 4.88s (2 calls), audit 3.11s, total 16s, baseline reused
09-24 03:08:06   V1 Span::1: SUCCESS  model 13.2s (4 calls), audit 7.3s, total 28s, baseline reused
09-24 03:09:03 pair run: kiota-java-1.10.0, 14 MCIs, 2 to do, model gpt-5.6-luna
09-24 03:09:45   V2 com.microsoft.kiota.serialization.ParseNodeFactory::1: SUCCESS  model 32.01s (5 calls), audit 2.54s, total 42s, baseline reused
09-24 03:10:19   V1 com.microsoft.kiota.serialization.ParseNodeFactory::1: SUCCESS  model 23.19s (5 calls), audit 3.02s, total 33s, baseline reused
09-24 03:10:50   V2 com.microsoft.kiota.serialization.ParseNode::1: SUCCESS  model 21.82s (4 calls), audit 2.52s, total 32s, baseline reused
09-24 03:11:20   V1 com.microsoft.kiota.serialization.ParseNode::1: SUCCESS  model 19.19s (4 calls), audit 3.25s, total 30s, baseline reused
09-24 03:11:20 pair run: kiota-java-1.10.0 pass finished (0 tool errors)
09-24 03:11:30 [L1] project kiota-java-1.10.0 finished
09-24 03:11:30 pair run: dubbo-3.3.6, 99 MCIs, 99 to do, model gpt-5.6-luna
09-24 03:13:50   V2 org.apache.dubbo.remoting.ChannelHandler::1: SUCCESS  model 6.47s (2 calls), audit 2.71s, total 140s, baseline -
09-24 03:14:29   V1 org.apache.dubbo.remoting.ChannelHandler::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 14.14s (3 calls), audit 0s, total 39s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 03:20:30   V2 java.sql.Connection::1: SUCCESS  model 25.21s (4 calls), audit 2.93s, total 361s, baseline -
09-24 03:21:50   V1 java.sql.Connection::1: FAILED_SYNTACTIC_VALIDITY  model 14.17s (3 calls), audit 0s, total 80s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 03:25:25   V2 org.apache.dubbo.registry.integration.RegistryProtocol::1: SUCCESS  model 52.83s (5 calls), audit 2.79s, total 215s, baseline -
09-24 03:27:08   V1 org.apache.dubbo.registry.integration.RegistryProtocol::1: SUCCESS  model 20.84s (4 calls), audit 2.92s, total 103s, baseline reused
09-24 03:30:04   V2 org.apache.dubbo.registry.client.migration.MigrationRuleHandler<?>::1: SUCCESS  model 10.27s (2 calls), audit 3.78s, total 176s, baseline -
09-24 03:31:50   V1 org.apache.dubbo.registry.client.migration.MigrationRuleHandler<?>::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 26.7s (4 calls), audit 0s, total 105s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 03:34:06   V2 org.apache.dubbo.rpc.Invoker<java.lang.Object>::1: SUCCESS  model 8.41s (2 calls), audit 3.13s, total 137s, baseline -
09-24 03:35:36   V1 org.apache.dubbo.rpc.Invoker<java.lang.Object>::1: SUCCESS  model 22.46s (6 calls), audit 5.78s, total 90s, baseline reused
09-24 03:37:47   V2 java.util.concurrent.Flow.Subscription::1: SUCCESS  model 9.27s (2 calls), audit 2.22s, total 131s, baseline -
09-24 03:39:06   V1 java.util.concurrent.Flow.Subscription::1: FAILED_SYNTACTIC_VALIDITY  model 48.43s (9 calls), audit 0s, total 78s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 03:42:39   V2 org.apache.dubbo.registry.nacos.NacosConnectionManager::1: SUCCESS  model 34.64s (5 calls), audit 2.65s, total 214s, baseline -
09-24 03:43:38   V1 org.apache.dubbo.registry.nacos.NacosConnectionManager::1: FAILED_SYNTACTIC_VALIDITY  model 13.74s (3 calls), audit 0s, total 58s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 03:44:57   V2 ChannelPromise::1: SUCCESS  model 25.25s (4 calls), audit 3.78s, total 79s, baseline -
09-24 03:45:34   V1 ChannelPromise::1: FAILED_SYNTACTIC_VALIDITY  model 27.01s (3 calls), audit 0s, total 38s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 03:47:03   V2 org.apache.dubbo.common.utils.Log::1: SUCCESS  model 50.42s (6 calls), audit 3.03s, total 89s, baseline -
09-24 03:47:38   V1 org.apache.dubbo.common.utils.Log::1: SUCCESS  model 32.25s (6 calls), audit 2.71s, total 35s, baseline reused
09-24 03:51:39   V2 org.apache.dubbo.rpc.cluster.Directory<?>::1: FAILED_SYNTACTIC_VALIDITY  model 43.21s (4 calls), audit 0s, total 240s, baseline -  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 03:51:52   V1 org.apache.dubbo.rpc.cluster.Directory<?>::1: MODEL_DECLINED  model 13.61s (2 calls), audit 0s, total 14s, baseline -  | V1: stub does not match reusable method: createMockDirectory requires sdInvokers, but sdInvokers is declared after sdDirectory is first used.
09-24 03:56:52   V2 java.net.InetAddress::1: SUCCESS  model 29.88s (5 calls), audit 2.56s, total 287s, baseline -
09-24 03:57:15   V1 java.net.InetAddress::1: SUCCESS  model 20.05s (5 calls), audit 1.98s, total 22s, baseline reused
09-24 03:57:54   V2 java.net.InetAddress::2: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 39s, baseline -  | Selected target tests do not provide a valid baseline: Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 03:58:33   V1 java.net.InetAddress::2: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 39s, baseline -  | Selected target tests do not provide a valid baseline: Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 04:00:04   V2 org.apache.dubbo.common.URL::1: FAILED_SYNTACTIC_VALIDITY  model 56.44s (5 calls), audit 0s, total 91s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 04:01:51   V1 org.apache.dubbo.common.URL::1: SUCCESS  model 21.58s (4 calls), audit 3.26s, total 107s, baseline reused
09-24 04:03:51   V2 org.apache.dubbo.common.URL::2: SUCCESS  model 40.38s (6 calls), audit 2.63s, total 120s, baseline reused
09-24 04:05:36   V1 org.apache.dubbo.common.URL::2: SUCCESS  model 24.17s (6 calls), audit 2.86s, total 105s, baseline reused
09-24 04:07:07   V2 org.apache.dubbo.rpc.cluster.router.mesh.route.MeshEnvListenerFactory::1: SUCCESS  model 33.83s (4 calls), audit 2.93s, total 91s, baseline -
09-24 04:07:38   V1 org.apache.dubbo.rpc.cluster.router.mesh.route.MeshEnvListenerFactory::1: FAILED_SYNTACTIC_VALIDITY  model 18.06s (3 calls), audit 0s, total 31s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 04:14:08   V2 org.apache.dubbo.registry.client.ServiceDiscovery::1: SUCCESS  model 121.01s (7 calls), audit 10.78s, total 390s, baseline -
09-24 04:15:30   V1 org.apache.dubbo.registry.client.ServiceDiscovery::1: FAILED_SYNTACTIC_VALIDITY  model 46.23s (3 calls), audit 0s, total 82s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 04:17:39   V2 org.apache.dubbo.common.stream.StreamObserver<java.lang.String>::1: SUCCESS  model 7.37s (2 calls), audit 2.25s, total 128s, baseline -
09-24 04:18:49   V1 org.apache.dubbo.common.stream.StreamObserver<java.lang.String>::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 12.03s (3 calls), audit 0s, total 71s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 04:21:09   V2 ChannelFuture::1: SUCCESS  model 9.11s (2 calls), audit 2.47s, total 140s, baseline reused
09-24 04:23:38   V1 ChannelFuture::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 20.45s (4 calls), audit 0s, total 149s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 04:28:09   V2 ChannelFuture::2: SUCCESS  model 8.15s (2 calls), audit 2.41s, total 271s, baseline -
09-24 04:30:35   V1 ChannelFuture::2: FAILED_BEHAVIORAL_EQUIVALENCE  model 18.27s (4 calls), audit 0s, total 146s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 04:31:46   V2 Channel::1: SUCCESS  model 40.17s (4 calls), audit 4.77s, total 71s, baseline reused
09-24 04:32:25   V1 Channel::1: MODEL_DECLINED  model 39.54s (3 calls), audit 0s, total 40s, baseline -  | V1: stub does not match reusable method: the helper omits the channel.isActive(), channel.eventLoop(), and channel.writeAndFlush() stubs. Additionally, its Chan
09-24 04:35:58   V2 Channel::2: SUCCESS  model 68.49s (6 calls), audit 2.11s, total 201s, baseline reused
09-24 04:36:08   V1 Channel::2: MODEL_DECLINED  model 9.87s (2 calls), audit 0s, total 10s, baseline -  | V1: The reusable method requires address, but address is declared after channel is first used by when(context.channel()).thenReturn(channel);
09-24 04:37:34   V2 java.net.NetworkInterface::1: FAILED_SYNTACTIC_VALIDITY  model 59.93s (4 calls), audit 0s, total 85s, baseline -  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 04:38:05   V1 java.net.NetworkInterface::1: FAILED_SYNTACTIC_VALIDITY  model 20.34s (3 calls), audit 0s, total 31s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 04:40:30   V2 org.apache.dubbo.metadata.MetadataService::1: SUCCESS  model 24.68s (4 calls), audit 9.31s, total 145s, baseline reused
09-24 04:41:26   V1 org.apache.dubbo.metadata.MetadataService::1: FAILED_SYNTACTIC_VALIDITY  model 18.51s (3 calls), audit 0s, total 57s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 04:42:44   V2 org.apache.dubbo.remoting.Channel::1: SUCCESS  model 33.72s (6 calls), audit 2.77s, total 78s, baseline -
09-24 04:43:39   V1 org.apache.dubbo.remoting.Channel::1: SUCCESS  model 30.66s (6 calls), audit 3.03s, total 55s, baseline reused
09-24 04:44:53   V2 org.apache.dubbo.remoting.Channel::2: SUCCESS  model 27.06s (5 calls), audit 3.13s, total 74s, baseline -
09-24 04:45:28   V1 org.apache.dubbo.remoting.Channel::2: FAILED_SYNTACTIC_VALIDITY  model 25.15s (4 calls), audit 0s, total 35s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 04:46:36   V2 org.apache.dubbo.remoting.Channel::3: SUCCESS  model 19.06s (4 calls), audit 2.19s, total 68s, baseline -
09-24 04:46:46   V1 org.apache.dubbo.remoting.Channel::3: MODEL_DECLINED  model 9.78s (2 calls), audit 0s, total 10s, baseline -  | V1: stub does not match reusable method: createMockChannel requires exchangeChannel1, but exchangeChannel1 is constructed from channel1, so the helper cannot re
09-24 04:47:38   V2 org.apache.dubbo.rpc.model.ServiceDescriptor::1: SUCCESS  model 6.21s (2 calls), audit 3.23s, total 52s, baseline -
09-24 04:48:10   V1 org.apache.dubbo.rpc.model.ServiceDescriptor::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 10.91s (3 calls), audit 0s, total 32s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 04:50:58   V2 java.util.List::1: SUCCESS  model 31.85s (4 calls), audit 3.43s, total 168s, baseline reused
09-24 04:51:24   V1 java.util.List::1: FAILED_SYNTACTIC_VALIDITY  model 26.19s (3 calls), audit 0s, total 26s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: dubbo-plugin\dubbo-qos\src\test\java\org\apache\dubbo\qos\command\util\Se
09-24 04:54:00   V2 org.apache.dubbo.rpc.cluster.ClusterInvoker::1: FAILED_SYNTACTIC_VALIDITY  model 119.03s (7 calls), audit 0s, total 156s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 04:54:40   V1 org.apache.dubbo.rpc.cluster.ClusterInvoker::1: MODEL_DECLINED  model 40.33s (4 calls), audit 0s, total 41s, baseline -  | V1: The reusable method requires consumerURL, which is declared after invoker has already been used by stubbing statements. Inserting the helper before the firs
09-24 04:58:00   V2 org.apache.dubbo.rpc.cluster.ClusterInvoker::2: SUCCESS  model 35.78s (4 calls), audit 4.07s, total 200s, baseline -
09-24 04:59:15   V1 org.apache.dubbo.rpc.cluster.ClusterInvoker::2: FAILED_SYNTACTIC_VALIDITY  model 37.15s (3 calls), audit 0s, total 75s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 05:01:27   V2 org.apache.dubbo.rpc.cluster.ClusterInvoker::3: FAILED_SYNTACTIC_VALIDITY  model 57.11s (5 calls), audit 0s, total 118s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 05:01:38   V1 org.apache.dubbo.rpc.cluster.ClusterInvoker::3: MODEL_DECLINED  model 11.12s (2 calls), audit 0s, total 11s, baseline -  | V1: stub does not match reusable method: createMockClusterInvoker requires sdDirectory, but serviceDiscoveryInvoker is first used before sdDirectory is declared
09-24 05:05:37   V2 org.apache.dubbo.common.config.CompositeConfiguration::1: SUCCESS  model 74.62s (11 calls), audit 3.01s, total 240s, baseline -
09-24 05:07:38   V1 org.apache.dubbo.common.config.CompositeConfiguration::1: SUCCESS  model 38.05s (9 calls), audit 2.41s, total 120s, baseline reused
09-24 05:08:43   V2 org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::1: SUCCESS  model 21.51s (4 calls), audit 2.58s, total 66s, baseline -
09-24 05:08:54   V1 org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::1: MODEL_DECLINED  model 10.19s (2 calls), audit 0s, total 10s, baseline -  | V1: The reusable method requires result and url, but both are declared after invoker is created and used by stubbing statements. Inserting the helper at the ori
09-24 05:10:52   V2 org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::2: SUCCESS  model 61.22s (8 calls), audit 2.38s, total 118s, baseline -
09-24 05:12:13   V1 org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::2: FAILED_SYNTACTIC_VALIDITY  model 71.23s (6 calls), audit 0s, total 82s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 05:12:58   V2 java.lang.ClassLoader::1: SUCCESS  model 6.08s (2 calls), audit 2.61s, total 45s, baseline -
09-24 05:13:27   V1 java.lang.ClassLoader::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 8.54s (3 calls), audit 0s, total 29s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 05:14:52   V2 org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.cluster.router.mock.MockInvokersSelectorTest.DemoService>::1: SUCCESS  model 21.01s (5 calls), audit 4.6s, total 85s, baseline -
09-24 05:15:49   V1 org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.cluster.router.mock.MockInvokersSelectorTest.DemoService>::1: SUCCESS  model 24.42s (5 calls), audit 4.26s, total 56s, baseline reused
09-24 05:17:22   V2 org.apache.dubbo.registry.Registry::1: SUCCESS  model 8.95s (2 calls), audit 3.0s, total 93s, baseline reused
09-24 05:19:07   V1 org.apache.dubbo.registry.Registry::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 23.49s (6 calls), audit 0s, total 105s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 05:20:27   V2 org.apache.dubbo.auth.model.AccessKeyPair::1: SUCCESS  model 31.33s (5 calls), audit 2.15s, total 80s, baseline -
09-24 05:20:40   V1 org.apache.dubbo.auth.model.AccessKeyPair::1: SUCCESS  model 10.78s (4 calls), audit 1.82s, total 13s, baseline reused
09-24 05:23:37 pair run: dubbo-3.3.6, 99 MCIs, 61 to do, model gpt-5.6-luna
09-24 05:25:47   V2 org.apache.dubbo.common.extension.ExtensionLoader::1: SUCCESS  model 47.73s (5 calls), audit 2.35s, total 130s, baseline reused
09-24 05:27:25   V1 org.apache.dubbo.common.extension.ExtensionLoader::1: SUCCESS  model 17.85s (4 calls), audit 2.81s, total 98s, baseline reused
09-24 05:28:52   V2 org.apache.dubbo.registry.client.migration.MigrationRuleListener::1: SUCCESS  model 5.75s (2 calls), audit 2.88s, total 87s, baseline reused
09-24 05:30:34   V1 org.apache.dubbo.registry.client.migration.MigrationRuleListener::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 24.46s (6 calls), audit 0s, total 102s, baseline reused  | Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 05:31:08   V2 org.apache.dubbo.rpc.Invoker<?>::1: SUCCESS  model 9.05s (2 calls), audit 2.89s, total 34s, baseline reused
09-24 05:31:44   V1 org.apache.dubbo.rpc.Invoker<?>::1: SUCCESS  model 9.34s (4 calls), audit 5.47s, total 36s, baseline reused
09-24 05:33:23   V2 org.apache.dubbo.registry.client.migration.model.MigrationRule::1: SUCCESS  model 15.66s (4 calls), audit 3.14s, total 99s, baseline reused
09-24 05:34:57   V1 org.apache.dubbo.registry.client.migration.model.MigrationRule::1: SUCCESS  model 12.19s (4 calls), audit 2.73s, total 95s, baseline reused
09-24 05:36:34   V2 org.apache.dubbo.rpc.Invocation::1: SUCCESS  model 52.08s (9 calls), audit 2.1s, total 96s, baseline -
09-24 05:37:28   V1 org.apache.dubbo.rpc.Invocation::1: FAILED_SYNTACTIC_VALIDITY  model 43.97s (8 calls), audit 0s, total 54s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 05:39:00   V2 org.apache.dubbo.rpc.Invocation::2: FAILED_BEHAVIORAL_EQUIVALENCE  model 47.46s (8 calls), audit 0s, total 92s, baseline -  | Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 05:39:45   V1 org.apache.dubbo.rpc.Invocation::2: FAILED_SYNTACTIC_VALIDITY  model 35.27s (7 calls), audit 0s, total 45s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 05:41:04   V2 org.apache.dubbo.rpc.Invocation::3: SUCCESS  model 30.56s (6 calls), audit 1.95s, total 79s, baseline -
09-24 05:41:42   V1 org.apache.dubbo.rpc.Invocation::3: FAILED_BEHAVIORAL_EQUIVALENCE  model 16.46s (3 calls), audit 0s, total 38s, baseline reused  | Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 05:42:40   V2 org.apache.dubbo.rpc.Invocation::4: SUCCESS  model 31.91s (4 calls), audit 3.65s, total 58s, baseline reused
09-24 05:43:04   V1 org.apache.dubbo.rpc.Invocation::4: MODEL_DECLINED  model 23.46s (3 calls), audit 0s, total 24s, baseline -  | V1: stub does not match reusable method: the helper requires requestSignature (sign), which is declared only after invocation is used to construct requestString
09-24 05:43:45   V2 org.apache.dubbo.rpc.Invocation::5: SUCCESS  model 14.29s (4 calls), audit 4.63s, total 41s, baseline reused
09-24 05:44:19   V1 org.apache.dubbo.rpc.Invocation::5: FAILED_BEHAVIORAL_EQUIVALENCE  model 11.98s (3 calls), audit 0s, total 34s, baseline reused  | Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 05:45:18   V2 org.apache.dubbo.rpc.Invocation::6: SUCCESS  model 11.51s (4 calls), audit 4.2s, total 59s, baseline -
09-24 05:45:52   V1 org.apache.dubbo.rpc.Invocation::6: FAILED_BEHAVIORAL_EQUIVALENCE  model 11.38s (3 calls), audit 0s, total 34s, baseline reused  | Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 05:46:39   V2 org.apache.dubbo.rpc.Invocation::7: SUCCESS  model 8.83s (2 calls), audit 3.0s, total 34s, baseline reused
09-24 05:47:12   V1 org.apache.dubbo.rpc.Invocation::7: FAILED_BEHAVIORAL_EQUIVALENCE  model 10.3s (3 calls), audit 0s, total 32s, baseline reused  | Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 05:49:44   V2 ChannelHandlerContext::1: SUCCESS  model 20.3s (4 calls), audit 2.62s, total 153s, baseline reused
